recording_id,start,end,start_position_ms
Audio_45_10,1920-01-01 10:56:08,1920-01-01 21:37:36,0
Audio_45_10,1920-01-12 07:40:28,1920-01-12 10:20:25,38488040
Audio_45_10,1920-01-12 12:58:04,1920-01-12 15:36:38,48085480
